,Model,MSE,R2
0,Baseline,0.10565499919849995,-0.022764954525624104
1,Polynomial OLS,0.0027579297316213227,0.9733025990445836
2,KR,0.00569373958679745,0.9448832771402423
3,RF,0.10148740763232834,0.017578300701217908
4,GB,0.10975875589264772,-0.06249027335118007
5,NN,0.014285912400664935,0.8617090468253908
