,Model,MSE,R2
0,Baseline,0.7582670956493452,-1.3308521721145987
1,Polynomial OLS,0.03566904269175085,0.890356226569321
2,KR,0.2928893175444189,0.0996817534289105
3,RF,0.13659406404522684,0.5801208140185339
4,GB,0.37392151043773875,-0.14940470159504193
5,NN,0.01895097617206782,0.94174622078711
